circuit,russo,hqa
random0,7.952501535415649,129.82753491401672
random1,6.6661458015441895,123.95961856842041
random2,6.74286961555481,118.81295466423035
random3,6.575809478759766,145.58551263809204
random4,6.786511182785034,129.06761717796326
random5,6.415847063064575,136.1959536075592
random6,6.814598083496094,137.1901397705078
random7,6.428007364273071,117.87797904014587
random8,6.702113628387451,117.42197299003601
random9,6.471612215042114,133.2787733078003
random10,6.586622953414917,139.05329632759094
random11,6.523487091064453,145.6186466217041
random12,6.6964685916900635,126.97526550292969
random13,6.462464809417725,133.48180508613586
random14,6.634253025054932,131.75254797935486
random15,6.517890453338623,118.96999454498291
random16,6.698162317276001,128.49114394187927
random17,6.435640811920166,119.07517766952515
random18,6.807232141494751,128.46357083320618
random19,6.7046027183532715,129.7113950252533
random20,6.559081792831421,129.98621201515198
random21,6.4572365283966064,132.46555924415588
random22,6.764662027359009,137.96499633789062
random23,6.590166807174683,134.46607971191406
random24,6.473004579544067,136.16861367225647
random25,6.5181145668029785,156.28691148757935
random26,6.53996205329895,128.30277800559998
random27,6.7557902336120605,123.46747279167175
random28,6.459309339523315,144.8288345336914
random29,6.73281192779541,121.91158676147461
random30,6.505619049072266,123.5971941947937
random31,6.6694581508636475,135.00813698768616
random32,6.5758607387542725,128.88712763786316
random33,6.59377646446228,135.53765726089478
random34,6.479301929473877,116.866379737854
random35,6.830207586288452,145.0440490245819
random36,6.409202814102173,139.18800735473633
random37,6.798553943634033,154.78541111946106
random38,6.6127190589904785,121.18698859214783
random39,6.71522331237793,135.79498982429504
random40,6.492089033126831,138.49194407463074
random41,6.7117438316345215,132.23834133148193
random42,6.466564178466797,130.07734513282776
random43,6.627355575561523,127.41712141036987
random44,6.5196852684021,127.51349544525146
random45,6.6190409660339355,125.36135792732239
random46,6.33965277671814,127.74686646461487
random47,6.660275936126709,125.95314526557922
random48,6.566026926040649,139.93300533294678
random49,6.5776448249816895,141.78996324539185
random50,6.477882146835327,133.02558755874634
random51,6.733694314956665,124.42834806442261
random52,6.5300047397613525,132.6942584514618
random53,6.7573935985565186,137.32511162757874
random54,6.470972537994385,130.25715136528015
random55,6.591123819351196,140.83620405197144
random56,6.364006757736206,146.17890095710754
random57,6.576014280319214,119.99735736846924
random58,6.472442626953125,118.92740201950073
random59,6.8167078495025635,129.03983116149902
random60,6.428704738616943,120.94214081764221
random61,6.646363735198975,136.05579447746277
random62,6.425635099411011,142.03657341003418
random63,6.636687994003296,134.852863073349
cuccaro_adder,88.27335500717163,1484.27756690979
deutsch_jozsa,12.995894193649292,64.90963125228882
drapper_adder,59.976502418518066,3979.966608285904
graph_state,22.78544807434082,2014.8519117832184
qft,27.993884563446045,1379.9557657241821
qnn,352.80867528915405,8459.597321748734
quantum_volume,47.68041706085205,5509.981533527374
