,russo,hqa,da_fast_sequential,da_fast_parallel
random0,7.952501535415649,129.82753491401672,3.0933570861816406,3.6561942100524902
random1,6.6661458015441895,123.9596185684204,2.416994571685791,2.512378692626953
random2,6.74286961555481,118.81295466423036,2.4034454822540283,2.5349738597869873
random3,6.575809478759766,145.58551263809204,2.708552360534668,2.8436174392700195
random4,6.786511182785034,129.06761717796326,2.5132906436920166,2.7066149711608887
random5,6.415847063064575,136.1959536075592,2.8054702281951904,2.866131544113159
random6,6.814598083496094,137.1901397705078,2.772214889526367,2.8941895961761475
random7,6.428007364273071,117.87797904014587,2.489854335784912,2.719475030899048
random8,6.702113628387451,117.421972990036,2.4200291633605957,2.4267520904541016
random9,6.471612215042114,133.2787733078003,2.387716770172119,2.403184413909912
random10,6.586622953414917,139.05329632759094,2.736172676086426,2.766892433166504
random11,6.523487091064453,145.6186466217041,2.6547930240631104,2.615229606628418
random12,6.696468591690064,126.97526550292967,2.5881853103637695,2.5680553913116455
random13,6.462464809417725,133.48180508613586,2.478419780731201,2.3507888317108154
random14,6.634253025054932,131.75254797935486,2.6044390201568604,2.396566867828369
random15,6.517890453338623,118.96999454498292,2.1175825595855713,2.1217212677001953
random16,6.698162317276001,128.49114394187927,2.5271430015563965,2.2135229110717773
random17,6.435640811920166,119.07517766952516,2.538989543914795,2.3695785999298096
random18,6.807232141494751,128.46357083320618,2.7186532020568848,2.3695766925811768
random19,6.704602718353272,129.7113950252533,2.4445924758911133,2.347443103790283
random20,6.559081792831421,129.98621201515198,2.497272491455078,2.4734861850738525
random21,6.4572365283966064,132.46555924415588,2.5069034099578857,2.224553108215332
random22,6.764662027359009,137.96499633789062,2.566999673843384,2.296598196029663
random23,6.590166807174683,134.46607971191406,2.492326498031616,2.561000347137451
random24,6.473004579544067,136.16861367225647,2.8206372261047363,2.663309097290039
random25,6.5181145668029785,156.28691148757937,2.818507432937622,2.7099201679229736
random26,6.53996205329895,128.30277800559998,2.6748158931732178,2.1056337356567383
random27,6.7557902336120605,123.46747279167175,2.6805646419525146,2.3808670043945312
random28,6.459309339523315,144.8288345336914,2.6851537227630615,2.514529228210449
random29,6.73281192779541,121.9115867614746,2.22737717628479,2.2824819087982178
random30,6.505619049072266,123.5971941947937,2.2086150646209717,2.115140438079834
random31,6.669458150863648,135.00813698768616,2.65437650680542,2.384944438934326
random32,6.5758607387542725,128.88712763786316,2.5882229804992676,2.4220917224884033
random33,6.59377646446228,135.53765726089478,2.4918837547302246,2.2361135482788086
random34,6.479301929473877,116.866379737854,2.495954990386963,2.521413803100586
random35,6.830207586288452,145.0440490245819,2.610290288925171,2.432438850402832
random36,6.409202814102173,139.18800735473633,2.8802037239074707,2.6107091903686523
random37,6.798553943634033,154.78541111946106,2.773049831390381,2.4572651386260986
random38,6.612719058990479,121.18698859214784,2.6312170028686523,2.4505233764648438
random39,6.71522331237793,135.79498982429504,2.4847097396850586,2.3509585857391357
random40,6.492089033126831,138.49194407463074,2.676625967025757,2.4949893951416016
random41,6.7117438316345215,132.23834133148193,2.580989122390747,2.433225154876709
random42,6.466564178466797,130.07734513282776,2.5647389888763428,2.499342441558838
random43,6.627355575561523,127.41712141036987,2.3986191749572754,2.1619319915771484
random44,6.5196852684021,127.51349544525146,2.588270902633667,2.3260724544525146
random45,6.619040966033936,125.3613579273224,2.5192084312438965,2.4944207668304443
random46,6.33965277671814,127.74686646461488,2.6174004077911377,2.4427871704101562
random47,6.660275936126709,125.95314526557922,2.4453065395355225,2.5606040954589844
random48,6.566026926040649,139.93300533294678,2.599383592605591,2.686518907546997
random49,6.5776448249816895,141.78996324539185,2.646714925765991,2.672487258911133
random50,6.477882146835327,133.02558755874634,2.305136203765869,2.3058478832244873
random51,6.733694314956665,124.4283480644226,2.573187828063965,2.4585697650909424
random52,6.5300047397613525,132.6942584514618,2.6622722148895264,2.6865668296813965
random53,6.757393598556519,137.32511162757874,2.5514047145843506,2.3654723167419434
random54,6.470972537994385,130.25715136528015,2.57346248626709,2.64902663230896
random55,6.591123819351196,140.83620405197144,2.401538848876953,2.488974094390869
random56,6.364006757736206,146.17890095710754,2.605832576751709,2.673936367034912
random57,6.576014280319214,119.99735736846924,2.2034144401550293,2.397840976715088
random58,6.472442626953125,118.92740201950072,2.346606969833374,2.229001998901367
random59,6.816707849502564,129.03983116149902,2.575636625289917,2.465003490447998
random60,6.428704738616943,120.9421408176422,2.1261796951293945,2.188922882080078
random61,6.646363735198975,136.05579447746277,2.497699022293091,2.576011896133423
random62,6.425635099411011,142.03657341003418,2.693202257156372,2.6830086708068848
random63,6.636687994003296,134.852863073349,2.648653030395508,2.7534027099609375
cuccaro_adder,88.27335500717163,1484.27756690979,1.4160172939300537,1.2348334789276123
deutsch_jozsa,12.995894193649292,64.90963125228882,0.7630608081817627,1.105422019958496
drapper_adder,59.97650241851807,3979.966608285904,7.403338670730591,8.434072971343994
graph_state,22.78544807434082,2014.8519117832184,11.316722631454468,12.465535879135132
qft,27.993884563446045,1379.955765724182,6.442526578903198,8.940690279006958
qnn,352.80867528915405,8459.597321748734,22.612739324569702,19.75545048713684
quantum_volume,47.68041706085205,5509.981533527374,18.04974627494812,18.460174083709717
