,russo,hqa,da_sequential,da_parallel,azero
random0,189.0,192.0,180.0,150.0,184.0
random1,169.0,180.0,167.0,149.0,167.0
random2,228.0,234.0,217.0,190.0,217.0
random3,190.0,209.0,178.0,160.0,178.0
random4,232.0,224.0,219.0,182.0,223.0
random5,190.0,195.0,182.0,148.0,184.0
random6,225.0,209.0,192.0,148.0,195.0
random7,172.0,180.0,155.0,140.0,157.0
random8,237.0,224.0,195.0,168.0,196.0
random9,205.0,218.0,205.0,176.0,205.0
random10,206.0,196.0,173.0,150.0,173.0
random11,204.0,212.0,188.0,153.0,188.0
random12,214.0,198.0,182.0,147.0,182.0
random13,196.0,199.0,191.0,160.0,191.0
random14,212.0,229.0,228.0,184.0,228.0
random15,193.0,199.0,176.0,145.0,176.0
random16,205.0,208.0,199.0,167.0,198.0
random17,216.0,215.0,223.0,183.0,210.0
random18,246.0,225.0,224.0,186.0,228.0
random19,205.0,213.0,194.0,164.0,200.0
random20,188.0,185.0,171.0,136.0,171.0
random21,196.0,206.0,189.0,153.0,189.0
random22,237.0,238.0,212.0,186.0,212.0
random23,195.0,208.0,184.0,145.0,183.0
random24,226.0,226.0,208.0,177.0,207.0
random25,208.0,203.0,184.0,153.0,185.0
random26,217.0,195.0,210.0,157.0,203.0
random27,190.0,200.0,163.0,150.0,171.0
random28,263.0,249.0,236.0,195.0,236.0
random29,208.0,211.0,213.0,166.0,213.0
random30,207.0,194.0,205.0,169.0,206.0
random31,223.0,220.0,210.0,162.0,213.0
random32,213.0,209.0,217.0,172.0,217.0
random33,199.0,211.0,194.0,148.0,194.0
random34,198.0,205.0,220.0,166.0,222.0
random35,207.0,212.0,194.0,185.0,205.0
random36,189.0,194.0,188.0,164.0,189.0
random37,200.0,189.0,184.0,140.0,183.0
random38,199.0,198.0,187.0,156.0,186.0
random39,218.0,218.0,193.0,161.0,193.0
random40,194.0,198.0,181.0,156.0,180.0
random41,222.0,213.0,211.0,176.0,210.0
random42,256.0,242.0,226.0,189.0,231.0
random43,203.0,207.0,195.0,159.0,195.0
random44,213.0,216.0,210.0,182.0,204.0
random45,206.0,222.0,194.0,161.0,194.0
random46,208.0,207.0,185.0,170.0,187.0
random47,194.0,195.0,179.0,149.0,179.0
random48,220.0,207.0,194.0,174.0,194.0
random49,202.0,197.0,181.0,159.0,181.0
random50,233.0,221.0,203.0,177.0,202.0
random51,196.0,200.0,186.0,163.0,186.0
random52,231.0,213.0,205.0,166.0,208.0
random53,220.0,215.0,207.0,175.0,207.0
random54,186.0,186.0,169.0,136.0,168.0
random55,191.0,205.0,195.0,148.0,195.0
random56,212.0,212.0,197.0,152.0,197.0
random57,221.0,217.0,217.0,183.0,218.0
random58,223.0,204.0,208.0,169.0,207.0
random59,197.0,194.0,186.0,140.0,186.0
random60,184.0,181.0,173.0,134.0,173.0
random61,196.0,211.0,183.0,154.0,183.0
random62,207.0,208.0,195.0,176.0,195.0
random63,204.0,218.0,194.0,178.0,194.0
cuccaro_adder,143.0,50.0,52.0,50.0,54.0
deutsch_jozsa,48.0,16.0,16.0,16.0,16.0
drapper_adder,691.0,347.0,332.0,348.0,332.0
graph_state,546.0,341.0,418.0,476.0,410.0
qft,1146.0,309.0,323.0,424.0,338.0
qnn,573.0,546.0,671.0,848.0,671.0
quantum_volume,1204.0,841.0,1000.0,874.0,1000.0
