circuit,russo,hqa
random0,4.571847677230835,116.93828654289246
random1,3.307730436325073,111.38712406158449
random2,3.3109495639801025,124.93573331832886
random3,3.4609169960021973,123.84929847717284
random4,3.2658205032348637,120.89550256729126
random5,3.2566163539886475,110.75881814956664
random6,3.39709210395813,110.55982637405396
random7,3.3042941093444824,116.29022812843324
random8,3.263197183609009,125.58907389640808
random9,3.278125524520874,120.59059476852416
random10,3.4249346256256104,116.37324690818788
random11,3.262991189956665,105.3087911605835
random12,3.3029978275299072,120.34312963485718
random13,3.418921709060669,114.48895835876463
random14,3.2552359104156494,132.6396701335907
random15,3.2230682373046875,114.99196243286131
random16,3.267906188964844,114.4704008102417
random17,3.40852427482605,128.14685726165771
random18,3.327669620513916,133.69711923599243
random19,3.288483142852783,127.52309131622314
random20,3.45766282081604,106.56270933151244
random21,3.3316586017608643,119.51424837112428
random22,3.303984880447388,131.42558121681213
random23,3.4294092655181885,115.766441822052
random24,3.3466482162475586,122.84616756439208
random25,3.278304100036621,116.69290399551392
random26,3.434502601623535,112.65245032310486
random27,3.2767257690429688,122.48742294311523
random28,3.2945876121521,133.58453178405762
random29,3.2966561317443848,125.02988266944884
random30,3.4336652755737305,116.20871829986572
random31,3.2703232765197754,127.36160397529602
random32,3.2510011196136475,118.3979308605194
random33,3.2577602863311768,126.31724691390993
random34,3.413628339767456,116.16678929328918
random35,3.326459646224976,121.9775776863098
random36,3.289822816848755,112.12874245643616
random37,3.286506175994873,118.4844925403595
random38,3.4794318675994877,121.53387999534608
random39,3.2526662349700928,119.39513444900513
random40,3.249811887741089,101.93107509613036
random41,3.2463667392730717,119.06655716896056
random42,3.416038274765014,141.00779461860657
random43,3.2278075218200684,120.69953155517578
random44,3.225684642791748,114.51549673080444
random45,3.224695920944214,115.1519856452942
random46,3.3573150634765625,113.03354477882384
random47,3.244800329208374,107.97628664970398
random48,3.262357234954834,122.25453543663023
random49,3.4011340141296387,125.72330379486084
random50,3.2584939002990723,124.83143377304076
random51,3.253639936447144,119.90967679023744
random52,3.412800073623657,126.36316418647766
random53,3.25970196723938,123.71222448349
random54,3.245880365371704,117.94603443145752
random55,3.243034839630127,124.10708260536194
random56,3.418462991714477,123.63435006141664
random57,3.260007619857788,124.01857423782349
random58,3.330652236938477,117.60857605934144
random59,3.3721866607666016,114.21325087547302
random60,3.216671943664551,111.44303059577942
random61,3.260628461837769,113.55231285095216
random62,3.2796456813812256,122.18113660812378
random63,3.4126126766204834,127.58609533309937
cuccaro_adder,21.56003451347351,342.39737582206726
deutsch_jozsa,3.1308865547180176,14.03212070465088
drapper_adder,15.429929971694946,1022.5087008476256
graph_state,5.489603519439697,366.32861852645874
qft,6.647552490234375,306.5984437465668
qnn,23.848143339157104,1916.004813671112
quantum_volume,10.361570358276367,1171.0417070388794
