,russo,hqa,da_sequential,da_parallel,azero
random0,7.952501535415649,129.82753491401672,10.212911605834961,23.448195457458496,337.0889925956726
random1,6.6661458015441895,123.9596185684204,10.011274814605713,23.538126468658447,356.52319860458374
random2,6.74286961555481,118.81295466423036,10.13433027267456,23.820212841033936,344.0084002017975
random3,6.575809478759766,145.58551263809204,9.91564154624939,22.87063455581665,318.2084231376648
random4,6.786511182785034,129.06761717796326,10.010315418243408,23.323004722595215,329.6048631668091
random5,6.415847063064575,136.1959536075592,9.964913129806519,22.880475997924805,329.2574634552002
random6,6.814598083496094,137.1901397705078,10.025544881820679,23.2775559425354,310.8074426651001
random7,6.428007364273071,117.87797904014587,10.079169750213623,23.556349515914917,304.270348072052
random8,6.702113628387451,117.421972990036,10.101630449295044,23.656249046325684,322.9404602050781
random9,6.471612215042114,133.2787733078003,10.081825971603394,23.805570602416992,296.95227217674255
random10,6.586622953414917,139.05329632759094,10.05887770652771,23.164352655410767,309.4645001888275
random11,6.523487091064453,145.6186466217041,10.03336215019226,23.434596061706543,297.03320717811584
random12,6.696468591690064,126.97526550292967,10.101318120956421,23.691994428634644,312.2927176952362
random13,6.462464809417725,133.48180508613586,10.136160850524902,23.807997941970825,291.7054226398468
random14,6.634253025054932,131.75254797935486,10.092534303665161,23.183932065963745,333.670832157135
random15,6.517890453338623,118.96999454498292,10.099777221679688,24.10282325744629,288.14655685424805
random16,6.698162317276001,128.49114394187927,10.055535554885864,23.565491437911987,325.7780292034149
random17,6.435640811920166,119.07517766952516,10.012328147888184,23.750953674316406,297.01715874671936
random18,6.807232141494751,128.46357083320618,10.0664644241333,23.456108808517456,328.8526954650879
random19,6.704602718353272,129.7113950252533,10.060221910476685,23.663913011550903,310.9545648097992
random20,6.559081792831421,129.98621201515198,10.006380081176758,23.48114252090454,324.6437487602234
random21,6.4572365283966064,132.46555924415588,10.075925588607788,23.541074991226196,321.83122992515564
random22,6.764662027359009,137.96499633789062,10.008270978927612,23.332019805908203,310.6516788005829
random23,6.590166807174683,134.46607971191406,9.983564615249634,23.237632274627686,321.2493281364441
random24,6.473004579544067,136.16861367225647,10.04826307296753,23.32870864868164,323.44027876853943
random25,6.5181145668029785,156.28691148757937,10.000356197357178,22.911110162734985,303.698477268219
random26,6.53996205329895,128.30277800559998,10.077077865600586,23.46790885925293,336.84348464012146
random27,6.7557902336120605,123.46747279167175,10.015510559082031,23.461743116378784,309.710693359375
random28,6.459309339523315,144.8288345336914,9.819915294647217,23.22696042060852,320.20192790031433
random29,6.73281192779541,121.9115867614746,10.086779356002808,24.154412031173706,287.5155339241028
random30,6.505619049072266,123.5971941947937,10.125782012939453,23.992069005966187,298.0502960681915
random31,6.669458150863648,135.00813698768616,10.027567148208618,23.329502820968628,313.64787888526917
random32,6.5758607387542725,128.88712763786316,10.08462119102478,23.3457932472229,331.5053942203522
random33,6.59377646446228,135.53765726089478,10.121277332305908,23.740298748016357,303.0058944225311
random34,6.479301929473877,116.866379737854,10.140078067779541,23.747425317764282,304.31661224365234
random35,6.830207586288452,145.0440490245819,10.058404684066772,23.134321451187134,306.29264187812805
random36,6.409202814102173,139.18800735473633,10.102413177490234,22.990877389907837,343.4166612625122
random37,6.798553943634033,154.78541111946106,10.037376403808594,23.1585955619812,295.82896423339844
random38,6.612719058990479,121.18698859214784,10.088990449905396,23.568352222442627,321.60087156295776
random39,6.71522331237793,135.79498982429504,10.281289339065552,23.67005729675293,322.1748867034912
random40,6.492089033126831,138.49194407463074,10.34007215499878,23.28804326057434,332.14915895462036
random41,6.7117438316345215,132.23834133148193,10.353440284729004,23.63622736930847,340.28445744514465
random42,6.466564178466797,130.07734513282776,10.374843120574951,23.579631805419922,317.74953389167786
random43,6.627355575561523,127.41712141036987,10.476205110549927,24.17506504058838,284.71052050590515
random44,6.5196852684021,127.51349544525146,10.43092393875122,23.688986778259277,317.1559579372406
random45,6.619040966033936,125.3613579273224,10.350935220718384,23.389938831329346,323.77073550224304
random46,6.33965277671814,127.74686646461488,10.319172143936157,23.574873208999634,326.3927743434906
random47,6.660275936126709,125.95314526557922,10.365885734558105,23.383025646209717,326.8577027320862
random48,6.566026926040649,139.93300533294678,10.29660439491272,23.296741008758545,314.8165912628174
random49,6.5776448249816895,141.78996324539185,10.495246171951294,23.4669668674469,320.17252016067505
random50,6.477882146835327,133.02558755874634,10.349964380264282,23.701776027679443,315.9939908981323
random51,6.733694314956665,124.4283480644226,10.423284530639648,23.755404949188232,300.31599378585815
random52,6.5300047397613525,132.6942584514618,10.329834222793579,23.080936908721924,318.53136682510376
random53,6.757393598556519,137.32511162757874,10.339242935180664,23.523860454559326,304.02047395706177
random54,6.470972537994385,130.25715136528015,10.33092999458313,23.22075581550598,312.9014935493469
random55,6.591123819351196,140.83620405197144,10.3019437789917,23.292912244796753,314.350989818573
random56,6.364006757736206,146.17890095710754,10.294534683227539,23.213290214538574,318.02052569389343
random57,6.576014280319214,119.99735736846924,10.405825853347778,23.81821918487549,299.5384831428528
random58,6.472442626953125,118.92740201950072,10.376619815826416,23.740418195724487,302.4550964832306
random59,6.816707849502564,129.03983116149902,10.284678936004639,23.517216682434082,302.7883110046387
random60,6.428704738616943,120.9421408176422,10.39360785484314,24.27292799949646,286.90629148483276
random61,6.646363735198975,136.05579447746277,10.364415884017944,23.37739086151123,308.55871415138245
random62,6.425635099411011,142.03657341003418,10.321348428726196,23.05913734436035,326.9177873134613
random63,6.636687994003296,134.852863073349,10.326056957244873,23.371459245681763,317.0587668418884
cuccaro_adder,88.27335500717163,1484.27756690979,139.49733066558838,349.3836998939514,3326.5104711055756
deutsch_jozsa,12.995894193649292,64.90963125228882,21.214327096939087,54.159247398376465,203.74868869781494
drapper_adder,59.97650241851807,3979.966608285904,82.86587524414062,172.7021996974945,2070.259953022003
graph_state,22.78544807434082,2014.8519117832184,30.505025386810303,60.02998208999634,1095.7212569713593
qft,27.993884563446045,1379.955765724182,32.35848927497864,57.72546696662903,963.1266889572144
qnn,352.80867528915405,8459.597321748734,110.17368078231812,207.64916110038757,3701.3026802539825
quantum_volume,47.68041706085205,5509.981533527374,36.37632608413696,57.67110252380371,1679.490733385086
